Reference, Value, Footprint, Datasheet, Mfr. No, Mouser, Supplier, LCSC, Aliexpress, Comment, Field4
"R1","39K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JB-52-39K","603-CFR-12JB-52-39K","Mouser","","","",""
"C1","1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://cz.mouser.com/datasheet/2/445/860020672005-1725471.pdf","860020672005","710-860020672005","Mouser","","","",""
"Q1","BC239","Package_TO_SOT_THT:TO-92L_Inline_Wide","https://cz.mouser.com/datasheet/2/308/BC550-D-1802078.pdf","BC549CTA","512-BC549CTA","Mouser","","","",""
"R5","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-100R","603-CFR-12JT-52-100R","Mouser","","","",""
"R2","47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JB-52-47K","603-CFR-12JB-52-47K","Mouser","","","",""
"R3","470K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-470K","603-CFR-12JT-52-470K","Mouser","","","",""
"C2","470pF","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://cz.mouser.com/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf","FKP2D004701D00KSSD ","505-FKP2D004701DKSSD ","Mouser","","","",""
"C3","1uF","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://cz.mouser.com/datasheet/2/440/e_WIMA_MKS_2-1139871.pdf","MKS2C041001F00KI00","505-MKS2C041001FKI00","Mouser","","","",""
"R4","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-10K","603-CFR-12JT-52-10K","Mouser","","","",""
"R6","1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-1K","603-CFR-12JT-52-1K","Mouser","","","",""
"C4","100nF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://www.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/B32520_529.pdf","B32529C104K000","871-B32529C104K000","Mouser","","","",""
"R7","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-10K","603-CFR-12JT-52-10K","Mouser","","","",""
"Q2","BC239","Package_TO_SOT_THT:TO-92L_Inline_Wide","https://cz.mouser.com/datasheet/2/308/BC550-D-1802078.pdf","BC549CTA","512-BC549CTA","Mouser","","","",""
"R8","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JR-52-100K","603-CFR-12JR-52-100K","Mouser","","","",""
"R9","470K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-470K","603-CFR-12JT-52-470K","Mouser","","","",""
"C6","470pF","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://cz.mouser.com/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf","FKP2D004701D00KSSD ","505-FKP2D004701DKSSD ","Mouser","","","",""
"C5","1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://cz.mouser.com/datasheet/2/445/860020672005-1725471.pdf","860020672005","710-860020672005","Mouser","","","",""
"D1","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://cz.mouser.com/datasheet/2/308/1N914-D-1801484.pdf","1N914","512-1N914","Mouser","C125665","","",""
"D2","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://cz.mouser.com/datasheet/2/308/1N914-D-1801484.pdf","1N914","512-1N914","Mouser","C125665","","",""
"R10","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-10K","603-CFR-12JT-52-10K","Mouser","","","",""
"R11","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-150R","603-CFR-12JT-52-150R","Mouser","","","",""
"C7","100nF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://www.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/B32520_529.pdf","B32529C104K000","871-B32529C104K000","Mouser","","","",""
"R12","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-10K","603-CFR-12JT-52-10K","Mouser","","","",""
"R13","100K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JR-52-100K","603-CFR-12JR-52-100K","Mouser","","","",""
"R14","470K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-470K","603-CFR-12JT-52-470K","Mouser","","","",""
"C9","470pF","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://cz.mouser.com/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf","FKP2D004701D00KSSD ","505-FKP2D004701DKSSD ","Mouser","","","",""
"C8","1uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","https://cz.mouser.com/datasheet/2/445/860020672005-1725471.pdf","860020672005","710-860020672005","Mouser","","","",""
"D3","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://cz.mouser.com/datasheet/2/308/1N914-D-1801484.pdf","1N914","512-1N914","Mouser","C125665","","",""
"D4","1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","https://cz.mouser.com/datasheet/2/308/1N914-D-1801484.pdf","1N914","512-1N914","Mouser","C125665","","",""
"R15","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-10K","603-CFR-12JT-52-10K","Mouser","","","",""
"R16","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-150R","603-CFR-12JT-52-150R","Mouser","","","",""
"Tone1","100K","Potentiometer_THT:Potentiometer_Alps_RK09K_Single_Vertical","https://cz.mouser.com/datasheet/2/15/RK09K-771158.pdf","RK09D113BF25B15","688-RK09D113BF25B15","Mouser","","","",""
"C10","3.9nF","Capacitor_THT:C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://cz.mouser.com/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf","FKP2C013901D00HC00","505-FKP2C013901DHC00","Mouser","","","",""
"R17","39K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JB-52-39K","603-CFR-12JB-52-39K","Mouser","","","",""
"R18","22K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-22K ","603-CFR-12JT-52-22K ","Mouser","","","",""
"C12","100nF","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","https://www.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/B32520_529.pdf","B32529C104K000","871-B32529C104K000","Mouser","","","",""
"Q4","BC239","Package_TO_SOT_THT:TO-92L_Inline_Wide","https://cz.mouser.com/datasheet/2/308/BC550-D-1802078.pdf","BC549CTA","512-BC549CTA","Mouser","","","",""
"R21","15K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JT-52-15K","603-CFR-12JT-52-15K","Mouser","","","",""
"R19","430K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","https://cz.mouser.com/datasheet/2/447/yageo_yagos02873-1-1745585.pdf","CFR-12JB-52-430K","603-CFR-12JB-52-430K","Mouser","","","",""
